"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",2.1115,0.24675,0.30775,0,NA
"Δ Consumer price (USD/kg)",0.9412568307063,0.104440029037584,0.216725004260812,0.178175134253276,NA
"Δ Consumer price (%)",0.127344864397313,0.0227801228079447,0.0240013515688021,0.00964229424754588,NA
"Δ Producer price (USD/kg)",-1.1702431692937,-0.142309970962415,-0.091024995739188,0.178175134253276,NA
"Δ Producer price (%)",-0.158324968110737,-0.0310401925889187,-0.0100806223616718,0.00964229424754588,NA
"Δ Consumption (kg)",-2.50880481435417,-0.217265440477831,-0.147544521618634,0.0353338680462443,-2.83828090840439
"Δ Consumption (%)",-0.0991810094882997,-0.00703831501010024,-0.0066847923454172,0.00679785063800921,-0.0340184241046932
"Tax revenue (USD)",48.1135020292012,7.56330478989308,6.74714919942886,0,62.4239560185231
"Δ Emissions (kg CO2-eq.)",-211.893654620353,-2.1444098975162,-1.8162730611254,0.481600621470321,-215.372736957524
"Δ Emissions (%)",-0.0991810094882997,-0.00703831501010025,-0.00668479234541724,0.00679785063800937,-0.0773703849860521
"Δ Direct deaths",-0.0132289670708301,-0.201840900175082,-0.00305399324430022,0.0212596452066065,-0.196864215283606
"Δ Direct deaths (%)",-0.0991810094882997,-0.00703831501010025,-0.0066847923454171,0.00679785063800924,-0.00607697656383409
"Δ Total deaths",-0.0144206302741662,-0.232978671678126,-0.123006750417982,0.210379643086849,-0.160026409283425
"Δ Total deaths (%)",-0.0991810094882998,-0.0070383150101003,-0.00668479234541726,0.00679785063800927,-0.00193746356406141
"Δ Direct time in agriculture (days)",-14.5254058437715,-9.89020410857916,-0.513070865042437,6.93322831124692,-17.9954525061462
"Δ Direct time in agriculture (%)",-0.0991810094882998,-0.00703831501010035,-0.0066847923454171,0.00679785063800921,-0.00679505718937805
"Δ Total time in agriculture (days)",-14.91422852326,-10.068040678663,-0.657188148132747,7.6176964605088,-18.0217608895469
"Δ Total time in agriculture (%)",-0.0991810094882997,-0.00703831501010032,-0.00668479234541725,0.00679785063800921,-0.00643691736264418
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
