"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",0.8446,0.0987,0.1231,0.1363,NA
"Δ Consumer price (USD/kg)",0.359026741291959,0.0420950345064099,0.0878781651016389,0.126118397238653,NA
"Δ Consumer price (%)",0.0485735775755553,0.00918163336890308,0.00973212455581458,0.00682514258401129,NA
"Δ Producer price (USD/kg)",-0.48557325870804,-0.0566049654935901,-0.0352218348983619,-0.0101816027613459,NA
"Δ Producer price (%)",-0.0656943554276646,-0.0123464927898423,-0.00390066501637507,-0.000550997254178962,NA
"Δ Consumption (kg)",-1.02046904289792,-0.0857836130508396,-0.0570319878709782,-0.00202212912425992,-1.165306772944
"Δ Consumption (%)",-0.0403423770741723,-0.00277896056560344,-0.00258394545443896,-0.000389035577409658,-0.0139668698389568
"Tax revenue (USD)",20.5024492042524,3.03829917232428,2.71000177267588,0.708184523800363,26.9589346730529
"Δ Emissions (kg CO2-eq.)",-86.188815363158,-0.846684260811799,-0.702063770691723,-0.0275616199636488,-87.7651250146252
"Δ Emissions (%)",-0.0403423770741722,-0.00277896056560348,-0.00258394545443889,-0.000389035577409462,-0.0315286958166379
"Δ Direct deaths",-0.0053809492424676,-0.0796934921650312,-0.00118049320812585,-0.00121667256150504,-0.0874716071771297
"Δ Direct deaths (%)",-0.0403423770741723,-0.0027789605656034,-0.00258394545443887,-0.000389035577409598,-0.00270014997926638
"Δ Total deaths",-0.00586566427554122,-0.0919877186927707,-0.0475471364231304,-0.012039859402897,-0.157440378794339
"Δ Total deaths (%)",-0.0403423770741723,-0.00277896056560357,-0.00258394545443895,-0.000389035577409634,-0.00190615410788733
"Δ Direct time in agriculture (days)",-5.90828226822944,-3.90498111608667,-0.198322858965142,-0.396783133818417,-10.4083693770997
"Δ Direct time in agriculture (%)",-0.0403423770741724,-0.00277896056560351,-0.00258394545443885,-0.000389035577409641,-0.00393018542553502
"Δ Total time in agriculture (days)",-6.06643785902088,-3.97519690135277,-0.254030079070887,-0.435954700810271,-10.7316195402548
"Δ Total time in agriculture (%)",-0.0403423770741724,-0.00277896056560341,-0.00258394545443901,-0.000389035577409746,-0.00383306318241216
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,NA
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
