"","beef","chicken","pork","farmedfish","total"
"Tax (USD/kg)",0.8446,0.0987,0.1231,0.1363,NA
"Δ Consumer price (USD/kg)",0.408317291365277,0.0622504436225757,0.113208680515292,0.207649437372996,NA
"Δ Consumer price (%)",0.0552422127560783,0.0135778662993382,0.0125373689619026,0.0112373535391399,NA
"Δ Producer price (USD/kg)",-0.436282708634723,-0.0364495563774243,-0.00989131948470856,0.0713494373729979,NA
"Δ Producer price (%)",-0.0590257202471416,-0.00795025985940723,-0.001095420610287,0.00386121370094964,NA
"Δ Consumption (kg)",-0.915619580457193,-0.0551436132573073,-0.0160086421291155,0.0141612613994031,-0.972610574444213
"Δ Consumption (%)",-0.0361973453564084,-0.00178637762198388,-0.000725302757372719,0.00272447216118417,-0.0116572954115218
"Tax revenue (USD)",20.5910050602299,3.0413233403039,2.7150517465367,0.710390319928739,27.0577704669992
"Δ Emissions (kg CO2-eq.)",-77.3332297654142,-0.544267462849632,-0.1970663846094,0.193017992873877,-77.8815456199994
"Δ Emissions (%)",-0.0361973453564083,-0.00178637762198391,-0.000725302757372677,0.00272447216118435,-0.0279781241258801
"Δ Direct deaths",-0.00482807638520641,-0.0512287481814084,-0.00033135954067548,0.00852053312236567,-0.0478676509849247
"Δ Direct deaths (%)",-0.0361973453564084,-0.0017863776219839,-0.000725302757372642,0.00272447216118419,-0.00147762046434958
"Δ Total deaths",-0.00526298872116893,-0.0591317502680866,-0.0133462837203595,0.0843168688739873,0.00657584616437223
"Δ Total deaths (%)",-0.0361973453564084,-0.00178637762198406,-0.000725302757372767,0.00272447216118415,0.0000796147486117707
"Δ Direct time in agriculture (days)",-5.30122787095667,-2.51020866088902,-0.0556684028334899,2.77872941419287,-5.08837552048631
"Δ Direct time in agriculture (%)",-0.0361973453564085,-0.00178637762198391,-0.000725302757372765,0.00272447216118414,-0.00192136333614988
"Δ Total time in agriculture (days)",-5.44313355314785,-2.55534492840638,-0.0713051881529481,3.05305353768199,-5.01673013202519
"Δ Total time in agriculture (%)",-0.0361973453564085,-0.00178637762198382,-0.000725302757372737,0.00272447216118422,-0.00179184916992565
"SCAU threshold (direct deaths)",NA,NA,NA,NA,NA
"SCAU threshold (total deaths)",NA,NA,NA,NA,11.8435777956546
"SCAU threshold (direct time)",NA,NA,NA,NA,NA
"SCAU threshold (total time)",NA,NA,NA,NA,NA
